day,energy_sum,Count,avg_energy
2011-12-12,2591.4559999999997,216,11.99748148148148
2011-12-13,2686.287000199999,224,11.99235267946428
2011-12-14,2882.6510002,232,12.425219828448276
2011-12-15,3115.2900013999993,252,12.362261910317457
2011-12-16,3515.141997100002,262,13.416572508015275
2011-12-17,3803.3389991999966,280,13.583353568571416
2011-12-18,4146.596999700001,280,14.809274998928576
2011-12-19,4276.039001199997,310,13.793674197419346
2011-12-20,4193.265997799999,329,12.745489355015195
2011-12-21,4247.837999300003,349,12.171455585386827
2011-12-22,4354.419998600002,367,11.86490462833788
2011-12-23,4645.488001299999,378,12.289650797089946
2011-12-24,4949.931999500001,378,13.095058199735453
2011-12-25,4898.821998500002,378,12.959846556878313
2011-12-26,4201.860000999998,378,11.116031748677244
2011-12-27,4351.965000000001,378,11.513134920634924
2011-12-28,4571.5179984,387,11.81270800620155
2011-12-29,4895.5479993000035,402,12.177980097761203
2011-12-30,5115.0390013,411,12.445350368126519
2011-12-31,5129.531998799999,411,12.480613135766422
2012-01-01,5146.190999199998,411,12.521145983454984
2012-01-02,5252.444999500006,411,12.779671531630184
2012-01-03,5337.108999700002,418,12.768203348564597
2012-01-04,5357.951000400003,420,12.75702619142858
2012-01-05,5421.432999900001,421,12.87751306389549
2012-01-06,5390.085001199999,423,12.742517733333331
2012-01-07,5425.408002800001,424,12.795773591509436
2012-01-08,5676.622998300001,423,13.419912525531918
2012-01-09,5300.8539993,425,12.472597645411765
2012-01-10,5148.295996799997,429,12.000689969230763
2012-01-11,5148.746000599996,429,12.001738929137518
2012-01-12,5244.474999800003,434,12.084043778341021
2012-01-13,5469.383997899995,436,12.544458710779805
2012-01-14,5947.327000500003,439,13.547441914578595
2012-01-15,6178.886997200003,439,14.074913433257409
2012-01-16,5839.2270005000055,447,13.063147652125291
2012-01-17,5971.5659996999975,449,13.299701558351888
2012-01-18,5810.788000800003,454,12.799092512775337
2012-01-19,5709.051998300003,464,12.303991375646559
2012-01-20,6144.7799989,480,12.801624997708332
2012-01-21,6307.8889998999975,493,12.794906693509123
2012-01-22,6783.418998499998,493,13.759470585192695
2012-01-23,6434.274997699993,509,12.641011783300575
2012-01-24,6650.6239995999995,516,12.888806200775193
2012-01-25,6627.226002700001,527,12.575381409297915
2012-01-26,6607.621998399995,533,12.39703939662288
2012-01-27,6818.597999699998,546,12.48827472472527
2012-01-28,7422.420000900009,554,13.397870037725648
2012-01-29,7846.7859971,554,14.163873640974728
2012-01-30,7632.565999100003,567,13.461315695061733
2012-01-31,8084.963000799998,581,13.915598968674695
2012-02-01,8160.777997899997,590,13.83182711508474
2012-02-02,8748.7259971,608,14.389351968914474
2012-02-03,9116.600997800002,627,14.540033489314197
2012-02-04,9622.899994899995,634,15.178075701735008
2012-02-05,10121.4510011,634,15.964433755678234
2012-02-06,9208.513999999992,655,14.058799999999987
2012-02-07,9267.847003799987,667,13.894823094152903
2012-02-08,10257.697000200009,674,15.219135015133544
2012-02-09,9821.128999300001,681,14.421628486490457
2012-02-10,10176.057996599988,696,14.620772983620672
2012-02-11,10429.674004600003,700,14.899534292285718
2012-02-12,11136.172000999988,700,15.908817144285697
2012-02-13,10137.215001100012,708,14.318100284039565
2012-02-14,9745.098997399991,713,13.66774052931275
2012-02-15,9475.966998000007,725,13.070299307586216
2012-02-16,9242.454998700005,733,12.609079125102326
2012-02-17,9166.47300050001,736,12.454447011548925
2012-02-18,9570.773002399994,738,12.968527103523027
2012-02-19,10163.385999899996,738,13.771525745121945
2012-02-20,10048.156002600004,754,13.326466846949607
2012-02-21,9679.702002299997,765,12.653205231764701
2012-02-22,10057.731001100006,780,12.894526924487188
2012-02-23,9204.951002000009,791,11.637106197218722
2012-02-24,9256.393001300012,802,11.541637158728195
2012-02-25,9523.657997799995,805,11.830631053167696
2012-02-26,10037.533998400002,805,12.46898633341615
2012-02-27,9996.208995500006,819,12.205383388888897
2012-02-28,9590.12700020002,828,11.582278985748816
2012-02-29,9717.6519958,843,11.527463814709373
2012-03-01,9568.617999400003,852,11.230772299765261
2012-03-02,10234.4660002,863,11.859172653765933
2012-03-03,10572.159999500003,865,12.22215028843931
2012-03-04,11657.6919997,865,13.477100577687862
2012-03-05,11110.184998099992,873,12.72644329679266
2012-03-06,11581.9729985,888,13.042762385698198
2012-03-07,11466.0279945,898,12.76840533908686
2012-03-08,10951.742995100005,908,12.061390963766526
2012-03-09,11165.321002800001,918,12.162659044444446
2012-03-10,11045.184003199996,925,11.940739462918915
2012-03-11,11163.682003099999,925,12.068845408756756
2012-03-12,10370.87000080001,943,10.997741252173924
2012-03-13,10586.013001900004,962,11.004171519646574
2012-03-14,10785.756998600002,980,11.005874488367349
2012-03-15,11034.06199829999,1005,10.979166167462678
2012-03-16,11693.307998899982,1033,11.319756049273941
2012-03-17,12320.027000200005,1040,11.84617980788462
2012-03-18,12656.6950003,1040,12.16989903875
2012-03-19,11854.610997200021,1071,11.068731089822615
2012-03-20,11755.025004199984,1093,10.754826170356802
2012-03-21,11690.576000099985,1123,10.410130008993754
2012-03-22,11739.405995299998,1144,10.261718527360138
2012-03-23,12049.383995300008,1181,10.20269601634209
2012-03-24,12264.153000599994,1189,10.314678722119423
2012-03-25,12814.88800239999,1189,10.777870481412943
2012-03-26,12104.991001700015,1203,10.062336659767261
2012-03-27,11734.699998199992,1217,9.642317171898103
2012-03-28,11785.776003100002,1228,9.59753746180782
2012-03-29,11583.731000599999,1230,9.417667480162601
2012-03-30,11576.929001300008,1230,9.4121373994309
2012-03-31,12961.403999900014,1234,10.503568881604549
2012-04-01,13357.208999999997,1235,10.815553846153843
2012-04-02,12680.63999469999,1268,10.00050472768138
2012-04-03,13243.839000899985,1291,10.258589466227718
2012-04-04,13612.66400209999,1317,10.336115415413811
2012-04-05,14386.763998399996,1341,10.728384786278893
2012-04-06,14256.724006200015,1342,10.623490317585704
2012-04-07,13945.154999200011,1341,10.39907158777033
2012-04-08,14335.288998400003,1340,10.697976864477614
2012-04-09,14389.332001399991,1341,10.730299777330345
2012-04-10,13696.322000000013,1370,9.997315328467163
2012-04-11,14254.377996500014,1403,10.159927296151114
2012-04-12,14726.501000700022,1443,10.205475398960514
2012-04-13,14950.339003300007,1479,10.10841041467208
2012-04-14,15498.483001799996,1498,10.346116823631506
2012-04-15,16806.216002700017,1498,11.219102805540732
2012-04-16,16296.894001600003,1548,10.527709303359176
2012-04-17,17128.566999500017,1599,10.71204940556599
2012-04-18,17946.18200280003,1649,10.883069740933918
2012-04-19,18295.942001499974,1697,10.781344726870934
2012-04-20,18048.777999400012,1742,10.360951779219295
2012-04-21,18190.31499749999,1764,10.311969953231287
2012-04-22,18951.95099659998,1763,10.749830400794089
2012-04-23,18675.982998599997,1813,10.301148923662437
2012-04-24,18811.75399990003,1863,10.097559849651116
