Bank holidays,Type
2004-01-01,New Year’s Day
2004-01-19,Martin Luther King Jr. Day
2004-02-12,Lincoln's Birthday
2004-02-16,Washington's Birthday
2004-03-31,Cesar Chavez Day
2004-05-31,Memorial Day
2004-07-05,Independence Day
2004-09-06,Labor Day
2004-09-24,Native American Day
2004-10-11,Columbus Day
2004-11-11,Veterans Day
2004-11-25,Thanksgiving
2004-12-24,Christmas Day
2004-12-31,New Year's Day
